codigo_uni,nombre,genero,edad,ciclo_academico,condicion_socioeconomica,nombre_carrera,facultad,area_academica,fecha_registro,puntaje_estres,inasistencias_lms,indice_sentimiento,asistencia_cita_flag,nota_promedio
20240019,Carmen Luna,F,18,III,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-25,75,8,-0.44,1,14.4
20240020,Sofia Ramirez,F,18,X,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-17,62,10,-0.41,0,14.2
20240021,Andrea Castro,F,20,II,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-13,35,0,0.94,0,17.4
20240022,Elena Paz,F,26,VI,Media,Derecho,Derecho y Humanidades,Letras,2026-06-12,25,2,0.4,0,18.0
20240023,Laura Lopez,F,18,VIII,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-05,42,2,0.13,1,16.1
20240024,Sofia Vargas,F,25,IX,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-09,51,4,0.01,0,18.9
20240025,Fernando Inofuente,M,22,II,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-18,67,11,-0.49,1,13.4
20240026,Jorge Torres,M,19,VII,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-01,65,11,-0.11,1,11.6
20240027,Victor Arce,M,18,II,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-04,91,30,-0.96,1,7.6
20240028,Valeria Ruiz,F,23,IV,Baja,Derecho,Derecho y Humanidades,Letras,2026-06-12,98,30,-0.73,0,8.8
20240029,Diego Vargas,M,20,VII,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-17,60,3,0.8,0,19.2
20240030,Paula Caro,F,19,VII,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-05-15,75,8,-0.51,0,13.8
20240031,Catalina Fernandez,F,24,VI,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-19,81,10,-0.45,1,14.4
20240032,Marck Chavez,M,20,X,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-07,32,5,0.79,0,16.6
20240033,Juliana Cano,F,21,V,Alta,Administracion,Ciencias Empresariales,Negocios,2026-05-01,44,5,0.72,0,18.5
20240034,Elena Mesa,F,23,X,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-16,42,2,0.67,0,16.0
20240035,Pedro Paz,M,24,III,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-26,10,2,0.29,0,16.6
20240036,Hector Cruz,M,25,IV,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-06-20,60,5,0.17,0,14.5
20240037,Raul Castro,M,21,V,Alta,Derecho,Derecho y Humanidades,Letras,2026-05-10,89,28,-0.82,1,10.5
20240038,Antonella Cano,F,21,VII,Media,Administracion,Ciencias Empresariales,Negocios,2026-05-16,97,13,-0.73,0,10.9
20240039,Diego Sanchez,M,26,VIII,Alta,Derecho,Derecho y Humanidades,Letras,2026-06-28,39,1,0.8,0,18.0
20240040,Alejandro Cruz,M,26,VII,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-06-27,76,9,-0.54,1,11.9
20240041,Simon Rivas,M,21,V,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-15,69,8,-0.5,0,12.9
20240042,Daniela Caro,F,20,IV,Alta,Administracion,Ciencias Empresariales,Negocios,2026-05-27,75,9,-0.65,1,13.9
20240043,Sebastian Caro,M,18,X,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-05-01,29,3,0.85,0,19.7
20240044,Felipe Alba,M,21,VIII,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-28,34,2,0.67,0,18.8
20240045,Ricardo Inofuente,M,26,I,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-06,18,3,0.18,0,15.6
20240046,Monica Herrera,F,24,V,Media,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-23,86,30,-0.98,0,11.3
20240047,Alejandro Pino,M,18,I,Alta,Derecho,Derecho y Humanidades,Letras,2026-06-23,88,20,-0.96,0,10.0
20240048,Natalia Medina,F,23,III,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-19,29,0,0.58,0,19.6
20240049,Javier Luna,M,21,II,Baja,Derecho,Derecho y Humanidades,Letras,2026-05-07,29,5,0.6,0,14.7
20240050,Hugo Mora,M,24,VI,Alta,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-01,41,0,0.43,0,16.2
20240051,Rosa Vega,F,20,IX,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-09,44,3,0.46,0,19.0
20240052,Silvia Castro,F,22,VIII,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-06-06,34,2,0.03,0,19.1
20240053,Paula Chavez,F,23,V,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-05,89,15,-0.93,0,8.8
20240054,Emilio Muro,M,25,VIII,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-19,83,7,-0.51,1,13.0
20240055,Hugo Vega,M,26,VI,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-05-18,68,6,-0.26,0,12.1
20240056,Samantha Nunez,F,22,X,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-07,28,1,0.36,0,15.8
20240057,Ana Torres,F,26,V,Baja,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-10,41,0,0.87,0,17.4
20240058,Lucia Torres,F,22,VIII,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-26,46,5,0.69,0,14.9
20240059,Carlos Diaz,M,19,IX,Media,Derecho,Derecho y Humanidades,Letras,2026-06-19,38,3,0.3,0,17.5
20240060,Luis Rey,M,19,IV,Baja,Derecho,Derecho y Humanidades,Letras,2026-05-17,20,1,0.17,1,14.5
20240061,Martina Nunez,F,22,I,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-15,75,6,-0.28,0,14.2
20240062,Gabriela Flores,F,20,V,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-04,70,10,-0.25,1,13.0
20240063,Valeria Caro,F,22,VII,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-05-29,86,26,-0.78,0,9.7
20240064,Catalina Cano,F,18,V,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-18,40,4,0.65,0,19.5
20240065,Emilio Rivas,M,19,VIII,Media,Administracion,Ciencias Empresariales,Negocios,2026-05-22,64,12,-0.6,1,12.4
20240066,Daniela Herrera,F,26,I,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-21,64,12,-0.45,0,12.8
20240067,Felipe Leon,M,24,I,Alta,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-09,50,3,0.76,0,15.2
20240068,Hector Caro,M,25,II,Alta,Derecho,Derecho y Humanidades,Letras,2026-06-15,78,6,-0.36,0,11.3
20240069,Astrid Pino,F,20,VIII,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-02,36,3,0.98,0,15.5
20240070,Valeria Alba,F,26,III,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-19,36,2,0.93,0,17.0
20240071,Sofia Gil,F,25,III,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-05-23,85,10,-0.47,0,14.3
20240072,Diego Cano,M,24,IV,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-21,55,3,0.39,0,18.0
20240073,Mateo Ruiz,M,20,IX,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-25,99,27,-0.97,0,11.1
20240074,Victor Pino,M,20,II,Media,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-22,35,5,0.08,0,16.0
20240075,Raul Celi,M,25,IX,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-16,28,1,0.75,1,16.6
20240076,Angel Antunez,M,25,III,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-27,91,14,-0.91,0,8.7
20240077,Camila Cano,F,20,III,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-09,49,5,0.24,0,19.5
20240078,Natalia Leon,F,22,I,Media,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-13,14,3,0.95,0,19.9
20240079,Gonzalo Chavez,M,25,V,Alta,Administracion,Ciencias Empresariales,Negocios,2026-06-24,25,3,0.57,0,17.4
20240080,Claudia Mesa,F,24,V,Alta,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-28,41,2,0.78,0,15.4
20240081,Carmen Rey,F,22,III,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-27,12,2,0.79,0,14.2
20240082,Valeria Silva,F,23,VII,Alta,Derecho,Derecho y Humanidades,Letras,2026-05-09,33,4,0.5,0,15.6
20240083,Mateo Silva,M,23,II,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-10,24,5,0.72,0,19.9
20240084,Hugo Castro,M,24,I,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-30,57,5,0.26,0,16.3
20240085,Catalina Flores,F,25,I,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-28,51,0,0.64,0,16.8
20240086,Marck Inofuente,M,18,I,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-05-08,100,30,-0.96,1,9.0
20240087,Nicolas Vasquez,M,24,II,Media,Administracion,Ciencias Empresariales,Negocios,2026-06-30,12,5,0.37,0,16.7
20240088,Marck Solis,M,23,IX,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-04,22,0,0.95,1,18.9
20240089,Antonella Alba,F,18,I,Media,Derecho,Derecho y Humanidades,Letras,2026-05-09,23,0,0.83,0,17.3
20240090,Diego Aguilar,M,20,X,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-24,18,4,0.25,0,15.0
20240091,Maria Rios,F,21,X,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-12,65,11,-0.44,0,11.4
20240092,Laura Ortiz,F,26,X,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-06-02,80,6,-0.26,1,14.2
20240093,Maria Torres,F,25,VII,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-01,38,0,0.9,0,15.9
20240094,Martina Celi,F,26,VI,Media,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-30,37,0,0.79,0,14.7
20240095,Felipe Tello,M,21,VII,Media,Derecho,Derecho y Humanidades,Letras,2026-05-27,75,9,-0.44,1,11.3
20240096,Natalia Ortiz,F,20,VIII,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-23,92,16,-0.78,0,8.7
20240097,Sebastian Arce,M,26,VI,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-27,52,3,0.87,0,18.3
20240098,Hugo Antunez,M,26,IV,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-05-15,32,4,0.37,0,18.6
20240099,Angel Arce,M,26,I,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-02,83,12,-0.51,0,12.2
20240100,Rosa Cano,F,24,II,Alta,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-06,23,3,0.42,0,16.0
20240101,Alejandro Cano,M,19,I,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-18,53,0,0.27,0,18.0
20240102,Natalia Ramirez,F,26,II,Media,Administracion,Ciencias Empresariales,Negocios,2026-05-08,82,10,-0.4,0,13.3
20240103,Martina Torres,F,18,IV,Media,Derecho,Derecho y Humanidades,Letras,2026-06-19,90,22,-0.9,1,7.0
20240104,Daniela Mora,F,21,IX,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-05,57,0,0.44,1,16.8
20240105,Camila Cano,F,24,VII,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-26,91,18,-0.76,1,9.8
20240106,Patricia Antunez,F,21,VII,Baja,Administracion,Ciencias Empresariales,Negocios,2026-06-03,99,22,-0.78,0,8.0
20240107,Antonella Ismino,F,26,IX,Alta,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-23,51,1,0.24,0,14.9
20240108,Alejandro Herrera,M,19,III,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-05-30,58,4,0.45,0,19.5
20240109,Tomas Morales,M,23,III,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-31,29,2,0.59,1,16.1
20240110,Ana Torres,F,23,V,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-09,34,3,0.58,0,19.7
20240111,Valeria Cano,F,21,VI,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-06-02,62,9,-0.63,1,14.1
20240112,Carlos Peña,M,20,I,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-05-29,49,1,0.36,0,19.5
20240113,Rodrigo Alba,M,18,VI,Alta,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-07,34,2,0.25,0,19.1
20240114,Gersson Aguilar,M,19,X,Baja,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-28,81,11,-0.3,0,11.5
20240115,Daniela Pino,F,23,III,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-11,42,2,0.02,0,15.9
20240116,Laura Rivas,F,21,IV,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-05,64,10,-0.24,0,13.9
20240117,Fernando Medina,M,20,X,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-11,83,12,-0.32,1,14.2
20240118,Brenda Solis,F,21,VIII,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-18,38,1,0.53,0,15.9
20240119,Claudia Fernandez,F,23,X,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-06-19,73,10,-0.38,0,14.4
20240120,Gersson Chavez,M,18,VIII,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-15,17,2,0.08,0,15.0
20240121,Miguel Vega,M,19,IV,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-29,86,25,-0.85,0,8.1
20240122,Maria Morales,F,19,VI,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-03,76,11,-0.2,1,13.7
20240123,Maria Castro,F,18,V,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-05,48,4,0.42,0,18.7
20240124,Silvia Paz,F,25,II,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-06-08,50,4,0.58,0,18.3
20240125,Brenda Diaz,F,24,III,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-03,14,4,0.54,0,18.7
20240126,Patricia Nunez,F,18,VII,Media,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-17,98,15,-0.9,0,10.3
20240127,Nicolas Herrera,M,23,III,Alta,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-04,81,7,-0.2,1,13.4
20240128,Jose Inofuente,M,19,VIII,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-13,89,14,-0.91,1,8.4
20240129,Felipe Nunez,M,22,I,Baja,Derecho,Derecho y Humanidades,Letras,2026-05-19,59,0,0.87,0,16.0
20240130,Juliana Luna,F,25,VII,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-01,33,4,0.27,0,14.5
20240131,Claudia Sanchez,F,26,V,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-06,70,8,-0.43,0,13.5
20240132,Hugo Cruz,M,18,VI,Baja,Administracion,Ciencias Empresariales,Negocios,2026-05-18,60,0,0.08,0,17.8
20240133,Rodrigo Vargas,M,18,III,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-05-03,89,24,-0.89,0,11.3
20240134,Rodrigo Cruz,M,23,VI,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-06,91,25,-0.91,0,8.3
20240135,Lucia Rivas,F,26,VII,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-17,55,3,0.21,0,17.7
20240136,Pedro Ismino,M,20,II,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-27,15,5,0.97,0,19.9
20240137,Felipe Mora,M,22,V,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-20,24,0,0.99,0,18.8
20240138,Brenda Arce,F,23,VIII,Baja,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-09,14,2,0.4,0,18.3
20240139,Camila Cano,F,19,III,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-29,43,2,0.13,0,19.0
20240140,Alejandro Inofuente,M,24,IX,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-03,66,7,-0.5,1,13.5
20240141,Simon Silva,M,19,V,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-09,49,4,0.09,0,17.8
20240142,Gianpierre Mesa,M,23,X,Alta,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-06,96,21,-0.8,1,10.5
20240143,Juan Rivas,M,26,V,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-31,82,9,-0.51,0,11.3
20240144,Camila Nunez,F,25,IV,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-21,30,5,0.99,0,16.1
20240145,Simon Arce,M,19,VI,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-05-08,68,7,-0.63,1,12.0
20240146,Victor Diaz,M,20,VI,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-13,41,4,0.47,0,19.3
20240147,Daniela Peña,F,25,IV,Alta,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-04,93,28,-0.91,0,7.0
20240148,Juliana Chavez,F,23,VII,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-26,94,19,-0.89,1,8.3
20240149,Alejandro Arce,M,22,X,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-09,35,2,0.79,0,16.0
20240150,Pedro Alba,M,26,VII,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-03,97,23,-0.76,0,9.3
20240151,Simon Inofuente,M,23,X,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-26,57,2,0.59,0,17.0
20240152,Ximena Mendoza,F,25,I,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-13,92,22,-0.76,0,10.3
20240153,Jorge Pino,M,21,I,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-05-11,56,4,0.77,0,16.3
20240154,Ximena Caro,F,19,IV,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-05-21,36,5,0.2,0,17.0
20240155,Patricia Frias,F,18,III,Baja,Derecho,Derecho y Humanidades,Letras,2026-06-05,82,9,-0.38,0,12.1
20240156,Gabriela Aguilar,F,26,VI,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-09,25,2,0.56,0,15.3
20240157,Sofia Muro,F,21,VIII,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-05-23,60,5,0.27,0,14.7
20240158,Daniela Rios,F,20,V,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-15,100,27,-0.8,0,10.4
20240159,Gabriela Rojas,F,26,V,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-09,25,1,0.05,0,19.4
20240160,Astrid Paz,F,23,VIII,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-01,20,3,0.65,0,19.3
20240161,Alejandro Silva,M,23,V,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-28,51,4,0.23,0,18.4
20240162,Valeria Sanchez,F,24,III,Alta,Administracion,Ciencias Empresariales,Negocios,2026-06-20,57,2,0.88,0,14.1
20240163,Monica Silva,F,25,IX,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-06-26,42,3,0.27,0,18.9
20240164,Emilio Chavez,M,20,I,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-20,82,12,-0.58,1,13.1
20240165,Simon Morales,M,19,VII,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-12,40,2,0.94,0,14.0
20240166,Natalia Aguilar,F,22,X,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-17,54,1,0.06,0,14.7
20240167,Andrea Muro,F,22,II,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-24,24,1,0.48,0,16.7
20240168,Diana Arce,F,25,IX,Baja,Derecho,Derecho y Humanidades,Letras,2026-06-18,85,10,-0.17,1,11.3
20240169,Hugo Lopez,M,19,I,Baja,Derecho,Derecho y Humanidades,Letras,2026-06-06,20,2,0.85,0,16.7
20240170,Mateo Castro,M,26,VIII,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-05-09,39,4,0.06,0,16.8
20240171,Javier Chavez,M,18,IV,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-03,54,0,0.54,0,14.4
20240172,Mateo Ruiz,M,22,VII,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-19,56,5,0.96,0,16.2
20240173,Valeria Soto,F,24,II,Baja,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-11,17,1,0.99,0,16.4
20240174,Miguel Perez,M,18,V,Media,Administracion,Ciencias Empresariales,Negocios,2026-06-04,24,1,0.46,0,14.9
20240175,Alejandro Ismino,M,18,VII,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-16,64,10,-0.67,0,13.1
20240176,Ana Luna,F,25,IV,Baja,Derecho,Derecho y Humanidades,Letras,2026-06-18,13,1,0.5,0,15.7
20240177,Raul Cano,M,23,IV,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-12,36,2,0.28,0,17.3
20240178,Gianpierre Celi,M,24,IX,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-23,52,3,0.79,0,15.9
20240179,Daniela Sanchez,F,26,VIII,Alta,Derecho,Derecho y Humanidades,Letras,2026-05-20,19,3,0.91,0,17.4
20240180,Gersson Soto,M,21,V,Alta,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-11,93,24,-0.97,0,10.3
20240181,Daniela Solis,F,18,II,Alta,Derecho,Derecho y Humanidades,Letras,2026-05-31,71,8,-0.13,0,11.1
20240182,Marck Frias,M,25,IV,Baja,Derecho,Derecho y Humanidades,Letras,2026-05-26,45,2,0.78,0,16.3
20240183,Natalia Ortiz,F,26,VIII,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-21,40,2,0.91,0,16.2
20240184,Diego Frias,M,20,I,Media,Administracion,Ciencias Empresariales,Negocios,2026-05-19,71,7,-0.47,1,13.9
20240185,Rodrigo Aguilar,M,22,VIII,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-05-30,72,7,-0.61,0,12.9
20240186,Felipe Pino,M,18,IX,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-30,13,0,0.41,0,19.1
20240187,Juan Ramirez,M,26,VIII,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-09,49,3,0.66,0,14.1
20240188,Maria Vera,F,22,IX,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-02,53,3,0.81,0,19.5
20240189,Rosa Diaz,F,21,X,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-22,60,3,0.08,0,19.8
20240190,Diana Flores,F,22,II,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-06,34,4,0.48,0,17.8
20240191,Patricia Vega,F,23,X,Alta,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-15,83,10,-0.41,0,11.2
20240192,Jorge Mora,M,18,III,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-14,58,5,0.82,0,19.6
20240193,Sebastian Soto,M,26,VI,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-20,56,0,0.5,1,19.8
20240194,Claudia Lopez,F,23,X,Baja,Administracion,Ciencias Empresariales,Negocios,2026-06-19,81,8,-0.23,0,12.6
20240195,Daniela Vega,F,20,X,Baja,Administracion,Ciencias Empresariales,Negocios,2026-05-06,28,1,0.71,0,14.5
20240196,Emilio Vasquez,M,24,VI,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-06,90,27,-0.89,0,8.2
20240197,Camila Cruz,F,26,IX,Baja,Administracion,Ciencias Empresariales,Negocios,2026-05-07,91,30,-0.97,1,9.7
20240198,Juan Silva,M,24,VII,Alta,Derecho,Derecho y Humanidades,Letras,2026-06-06,53,3,0.17,0,15.6
20240199,Lucia Vega,F,22,VII,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-06-20,90,20,-0.78,0,9.2
